date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:55	67/67	---M--	200	added ('OK')	text/plain	etag:%2243-6163cc7b-0;;;%22	https://themezinho.net/robots.txt		(from )
19:08:59	14867/14867	---M-Z	200	added ('OK')	text/html	etag:%223a13-5efaf108-0;gz%22	https://themezinho.net/unicord/?storefront=envato-elements	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/index04b9.html	(from )
19:09:01	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2016%20Nov%202023%2013:39:01%20GMT	http://www.themezinho.net/unicord/preview.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/www.themezinho.net/unicord/preview.0.delayed	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2016%20Nov%202023%2013:39:05%20GMT	https://www.themezinho.net/unicord/preview.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/www.themezinho.net/unicord/preview.1.delayed	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:11	32995/32995	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Nov%202023%2013:39:09%20GMT	https://themezinho.net/unicord/preview.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/preview.2.delayed	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:18	24744/24744	---M--	200	added ('OK')	image/png	etag:%2260a8-5c117d99-0;;;%22	https://themezinho.net/unicord/ico/apple-touch-icon-144-precomposed.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/ico/apple-touch-icon-144-precomposed.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:20	23671/23671	---M--	200	added ('OK')	image/png	etag:%225c77-5c117d9a-0;;;%22	https://themezinho.net/unicord/ico/apple-touch-icon-114-precomposed.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/ico/apple-touch-icon-114-precomposed.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:23	22230/22230	---M--	200	added ('OK')	image/png	etag:%2256d6-5c117d99-0;;;%22	https://themezinho.net/unicord/ico/apple-touch-icon-72-precomposed.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/ico/apple-touch-icon-72-precomposed.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:26	21400/21400	---M--	200	added ('OK')	image/png	etag:%225398-5c117d9a-0;;;%22	https://themezinho.net/unicord/ico/apple-touch-icon-57-precomposed.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/ico/apple-touch-icon-57-precomposed.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:27	20698/20698	---M--	200	added ('OK')	image/png	etag:%2250da-5c117d99-0;;;%22	https://themezinho.net/unicord/ico/favicon.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/ico/favicon.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:28	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5efaf10e-0;gz%22	https://themezinho.net/unicord/css/font-awesome.min.css	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/css/font-awesome.min.css	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:30	63392/63392	---M-Z	200	added ('OK')	text/css	etag:%22f7a0-5efaf10c-0;gz%22	https://themezinho.net/unicord/css/animate.min.css	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/css/animate.min.css	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:33	18993/18993	---M-Z	200	added ('OK')	text/css	etag:%224a31-5efaf10c-0;gz%22	https://themezinho.net/unicord/css/swiper.min.css	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/css/swiper.min.css	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:35	62305/62305	---M-Z	200	added ('OK')	text/css	etag:%22f361-5efaf10d-0;gz%22	https://themezinho.net/unicord/css/style.css	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/css/style.css	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:36	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-5efaf10b-0;gz%22	https://themezinho.net/unicord/css/bootstrap.min.css	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/css/bootstrap.min.css	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:37	14867/14867	---M-Z	200	added ('OK')	text/html	etag:%223a13-5efaf108-0;gz%22	https://themezinho.net/unicord/index.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/index.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:39	13723/13723	---M-Z	200	added ('OK')	text/html	etag:%22359b-5efaf108-0;gz%22	https://themezinho.net/unicord/index-video-bg.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/index-video-bg.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:39	13881/13881	---M-Z	200	added ('OK')	text/html	etag:%223639-5efaf108-0;gz%22	https://themezinho.net/unicord/index-particles.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/index-particles.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:41	13569/13569	---M-Z	200	added ('OK')	text/html	etag:%223501-5efaf108-0;gz%22	https://themezinho.net/unicord/index-motion-blur.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/index-motion-blur.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:43	13568/13568	---M-Z	200	added ('OK')	text/html	etag:%223500-5efaf107-0;gz%22	https://themezinho.net/unicord/index-animation.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/index-animation.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:44	13731/13731	---M-Z	200	added ('OK')	text/html	etag:%2235a3-5efaf107-0;gz%22	https://themezinho.net/unicord/index-kinetic-slider.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/index-kinetic-slider.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:47	14000/14000	---M-Z	200	added ('OK')	text/html	etag:%2236b0-5efaf109-0;gz%22	https://themezinho.net/unicord/unicord.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/unicord.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:48	13512/13512	---M-Z	200	added ('OK')	text/html	etag:%2234c8-5efaf109-0;gz%22	https://themezinho.net/unicord/showcases-four-cols.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/showcases-four-cols.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:52	12041/12041	---M-Z	200	added ('OK')	text/html	etag:%222f09-5efaf109-0;gz%22	https://themezinho.net/unicord/showcases-three-cols.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/showcases-three-cols.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:55	12051/12051	---M-Z	200	added ('OK')	text/html	etag:%222f13-5efaf109-0;gz%22	https://themezinho.net/unicord/showcases-two-cols.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/showcases-two-cols.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:09:59	12724/12724	---M-Z	200	added ('OK')	text/html	etag:%2231b4-5efaf108-0;gz%22	https://themezinho.net/unicord/news.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/news.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:02	10168/10168	---M-Z	200	added ('OK')	text/html	etag:%2227b8-5efaf109-0;gz%22	https://themezinho.net/unicord/say-hello.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/say-hello.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:05	1687/1687	---M--	200	added ('OK')	image/png	etag:%22697-5c10f33f-0;;;%22	https://themezinho.net/unicord/images/logo.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/logo.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:30	147543/147543	---M--	200	added ('OK')	image/jpeg	etag:%2224057-5c10f37c-0;;;%22	https://themezinho.net/unicord/images/works01.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/works01.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:30	154432/154432	---M--	200	added ('OK')	image/jpeg	etag:%2225b40-5c10f75a-0;;;%22	https://themezinho.net/unicord/images/slide02.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/slide02.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:36	13114/13114	---M-Z	200	added ('OK')	text/html	etag:%22333a-5efaf107-0;gz%22	https://themezinho.net/unicord/case-details.html	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/case-details.html	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:37	22562/22562	---M--	200	added ('OK')	image/png	etag:%225822-5c168bf7-0;;;%22	https://themezinho.net/unicord/images/logo-brand.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/logo-brand.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:39	258158/258158	---M--	200	added ('OK')	image/jpeg	etag:%223f06e-5c10f75a-0;;;%22	https://themezinho.net/unicord/images/slide01.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/slide01.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:42	18417/18417	---M--	200	added ('OK')	image/png	etag:%2247f1-5c168bf8-0;;;%22	https://themezinho.net/unicord/images/logo-brand2.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/logo-brand2.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:43	8854/8854	---M--	200	added ('OK')	image/png	etag:%222296-5c138720-0;;;%22	https://themezinho.net/unicord/images/logo-brand3.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/logo-brand3.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:46	33946/33946	---M--	200	added ('OK')	image/jpeg	etag:%22849a-5c10f37d-0;;;%22	https://themezinho.net/unicord/images/works03.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/works03.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:51	62696/62696	---M--	200	added ('OK')	image/jpeg	etag:%22f4e8-5c10f37d-0;;;%22	https://themezinho.net/unicord/images/works04.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/works04.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:52	78690/78690	---M--	200	added ('OK')	image/jpeg	etag:%2213362-5c10f37c-0;;;%22	https://themezinho.net/unicord/images/works02.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/works02.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:10:54	23119/23119	---M--	200	added ('OK')	image/jpeg	etag:%225a4f-5c10f37d-0;;;%22	https://themezinho.net/unicord/images/works06.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/works06.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:01	58935/58935	---M--	200	added ('OK')	image/jpeg	etag:%22e637-5c10f37e-0;;;%22	https://themezinho.net/unicord/images/works08.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/works08.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:02	45959/45959	---M--	200	added ('OK')	image/jpeg	etag:%22b387-5c10f37d-0;;;%22	https://themezinho.net/unicord/images/works05.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/works05.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:06	52420/52420	---M--	200	added ('OK')	image/jpeg	etag:%22ccc4-5c10f37d-0;;;%22	https://themezinho.net/unicord/images/works07.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/works07.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:07	16505/16505	---M--	200	added ('OK')	image/jpeg	etag:%224079-5c10f37e-0;;;%22	https://themezinho.net/unicord/images/works09.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/works09.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:07	369309/369309	---M--	200	added ('OK')	image/jpeg	etag:%225a29d-5c10f75b-0;;;%22	https://themezinho.net/unicord/images/slide03.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/slide03.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:09	7785/7785	---M--	200	added ('OK')	image/png	etag:%221e69-5c10f33e-0;;;%22	https://themezinho.net/unicord/images/icon01.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/icon01.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:09	5793/5793	---M--	200	added ('OK')	image/png	etag:%2216a1-5c10f33e-0;;;%22	https://themezinho.net/unicord/images/icon02.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/icon02.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:13	8573/8573	---M--	200	added ('OK')	image/png	etag:%22217d-5c10f33e-0;;;%22	https://themezinho.net/unicord/images/icon03.png	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/icon03.png	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:17	3421/3421	---M--	200	added ('OK')	image/jpeg	etag:%22d5d-5c10f33f-0;;;%22	https://themezinho.net/unicord/images/logo01.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/logo01.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:19	4515/4515	---M--	200	added ('OK')	image/jpeg	etag:%2211a3-5c10f33f-0;;;%22	https://themezinho.net/unicord/images/logo02.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/logo02.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:22	3596/3596	---M--	200	added ('OK')	image/jpeg	etag:%22e0c-5c10f33f-0;;;%22	https://themezinho.net/unicord/images/logo03.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/logo03.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:24	3218/3218	---M--	200	added ('OK')	image/jpeg	etag:%22c92-5c10f340-0;;;%22	https://themezinho.net/unicord/images/logo04.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/logo04.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:26	2347/2347	---M--	200	added ('OK')	image/jpeg	etag:%2292b-5c10f340-0;;;%22	https://themezinho.net/unicord/images/logo05.jpg	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/images/logo05.jpg	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:27	1944/1944	---M--	200	added ('OK')	audio/mpeg	etag:%22798-5c117d94-0;;;%22	https://themezinho.net/unicord/audio/link.mp3	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/audio/link.mp3	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:28	6900/6900	---M--	200	added ('OK')	audio/mpeg	etag:%221af4-5c117d94-0;;;%22	https://themezinho.net/unicord/audio/hover.mp3	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/audio/hover.mp3	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:30	20336/20336	---M-Z	200	added ('OK')	application/x-javascript	etag:%224f70-5efaf121-0;gz%22	https://themezinho.net/unicord/js/popper.min.js	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/js/popper.min.js	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:32	51039/51039	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c75f-5efaf11d-0;gz%22	https://themezinho.net/unicord/js/bootstrap.min.js	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/js/bootstrap.min.js	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:34	97162/97162	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217b8a-5efaf11c-0;gz%22	https://themezinho.net/unicord/js/jquery.min.js	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/js/jquery.min.js	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:36	111714/111714	---M-Z	200	added ('OK')	application/x-javascript	etag:%221b462-5efaf110-0;gz%22	https://themezinho.net/unicord/js/swiper.min.js	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/js/swiper.min.js	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:36	8415/8415	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220df-5efaf119-0;gz%22	https://themezinho.net/unicord/js/wow.min.js	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/js/wow.min.js	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:38	34729/34729	---M-Z	200	added ('OK')	application/x-javascript	etag:%2287a9-5efaf122-0;gz%22	https://themezinho.net/unicord/js/isotope.min.js	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/js/isotope.min.js	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:39	11790/11790	---M-Z	200	added ('OK')	application/x-javascript	etag:%222e0e-5efaf11a-0;gz%22	https://themezinho.net/unicord/js/tilt.jquery.js	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/js/tilt.jquery.js	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:39	4221/4221	---M-Z	200	added ('OK')	application/x-javascript	etag:%22107d-5efaf111-0;gz%22	https://themezinho.net/unicord/js/jquery.typewriter.js	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/js/jquery.typewriter.js	(from https://themezinho.net/unicord/?storefront=envato-elements)
19:11:40	5594/5594	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215da-5efaf120-0;gz%22	https://themezinho.net/unicord/js/imagesloaded.pkgd.min.js	C:/Users/mitta/Downloads/YLF%20WEBSITE/themezinho.net/unicord/js/imagesloaded.pkgd.min.js	(from https://themezinho.net/unicord/?storefront=envato-elements)
